ts_code,name,industry
000568.SZ,泸州老窖,白酒
000570.SZ,苏常柴Ａ,农用机械
000571.SZ,新大洲A,煤炭开采
000572.SZ,海马汽车,汽车整车
000573.SZ,粤宏远Ａ,区域地产
000576.SZ,甘化科工,电气设备
000581.SZ,威孚高科,汽车配件
000582.SZ,北部湾港,港口
000586.SZ,汇源通信,通信设备
000589.SZ,贵州轮胎,汽车配件
000590.SZ,古汉医药,中成药
000591.SZ,太阳能,新型电力
000592.SZ,平潭发展,林业
000593.SZ,德龙汇能,供气供热
000595.SZ,*ST宝实,新型电力
000596.SZ,古井贡酒,白酒
000597.SZ,东北制药,化学制药
000598.SZ,兴蓉环境,水务
000599.SZ,青岛双星,汽车配件
000600.SZ,建投能源,火力发电
000601.SZ,韶能股份,水力发电
000603.SZ,盛达资源,铅锌
000605.SZ,渤海股份,水务
000607.SZ,华媒控股,广告包装
000608.SZ,*ST阳光,区域地产
000609.SZ,ST中迪,区域地产
000610.SZ,西安旅游,旅游服务
000612.SZ,焦作万方,铝
000615.SZ,*ST美谷,医疗保健
000617.SZ,中油资本,多元金融
000619.SZ,海螺新材,其他建材
000620.SZ,盈新发展,全国地产
000623.SZ,吉林敖东,中成药
000625.SZ,长安汽车,汽车整车
000626.SZ,远大控股,商贸代理
000628.SZ,高新发展,建筑工程
000629.SZ,钒钛股份,小金属
000630.SZ,铜陵有色,铜
000631.SZ,顺发恒能,综合类
000632.SZ,三木集团,综合类
000633.SZ,合金投资,小金属
000635.SZ,英力特,化工原料
000636.SZ,风华高科,元器件
000637.SZ,茂化实华,石油加工
000638.SZ,*ST万方,农业综合
000639.SZ,西王食品,食品
000650.SZ,仁和药业,中成药
000651.SZ,格力电器,家用电器
000652.SZ,泰达股份,批发业
000655.SZ,金岭矿业,普钢
000656.SZ,*ST金科,全国地产
000657.SZ,中钨高新,小金属
000659.SZ,珠海中富,广告包装
000661.SZ,长春高新,生物制药
000663.SZ,永安林业,林业
000665.SZ,湖北广电,影视音像
000668.SZ,*ST荣控,房产服务
000669.SZ,ST金鸿,供气供热
000670.SZ,盈方微,元器件
000672.SZ,上峰水泥,水泥
000676.SZ,智度股份,互联网
000677.SZ,恒天海龙,化纤
000678.SZ,襄阳轴承,汽车配件
000679.SZ,大连友谊,百货
000680.SZ,山推股份,工程机械
000681.SZ,视觉中国,互联网
000682.SZ,东方电子,电气设备
000683.SZ,博源化工,化工原料
000685.SZ,中山公用,水务
000686.SZ,东北证券,证券
000688.SZ,国城矿业,铅锌
000690.SZ,宝新能源,火力发电
000691.SZ,*ST亚太,化工原料
000692.SZ,惠天热电,供气供热
000695.SZ,滨海能源,化工原料
001696.SZ,宗申动力,摩托车
000697.SZ,ST炼石,航空
000698.SZ,ST沈化,石油加工
000700.SZ,模塑科技,汽车配件
000701.SZ,厦门信达,商贸代理
000702.SZ,正虹科技,饲料
000703.SZ,恒逸石化,化纤
000705.SZ,浙江震元,医药商业
000707.SZ,双环科技,化工原料
000708.SZ,中信特钢,特种钢
000709.SZ,河钢股份,普钢
000710.SZ,贝瑞基因,医疗保健
000711.SZ,ST京蓝,环境保护
000712.SZ,锦龙股份,证券
000713.SZ,国投丰乐,种植业
000715.SZ,中兴商业,百货
000716.SZ,黑芝麻,食品
000717.SZ,中南股份,普钢
000718.SZ,苏宁环球,区域地产
000719.SZ,中原传媒,出版业
000720.SZ,新能泰山,电气设备
000721.SZ,西安饮食,酒店餐饮
000722.SZ,湖南发展,水力发电
000723.SZ,美锦能源,焦炭加工
000725.SZ,京东方Ａ,元器件
000726.SZ,鲁泰Ａ,纺织
000727.SZ,冠捷科技,元器件
000728.SZ,国元证券,证券
000729.SZ,燕京啤酒,啤酒
000731.SZ,四川美丰,农药化肥
000733.SZ,振华科技,元器件
000735.SZ,罗牛山,农业综合
000736.SZ,*ST中地,全国地产
000737.SZ,北方铜业,铜
000738.SZ,航发控制,航空
000739.SZ,普洛药业,化学制药
000750.SZ,国海证券,证券
000751.SZ,锌业股份,铅锌
000752.SZ,ST西发,啤酒
000753.SZ,漳州发展,综合类
000755.SZ,山西高速,路桥
000756.SZ,新华制药,化学制药
000757.SZ,浩物股份,汽车服务
000758.SZ,中色股份,铅锌
000759.SZ,中百集团,超市连锁
000761.SZ,本钢板材,普钢
000762.SZ,西藏矿业,小金属
000766.SZ,通化金马,化学制药
000767.SZ,晋控电力,火力发电
000768.SZ,中航西飞,航空
000776.SZ,广发证券,证券
000777.SZ,中核科技,机械基件
000778.SZ,新兴铸管,钢加工
000779.SZ,甘咨询,建筑工程
000782.SZ,恒申新材,化纤
000783.SZ,长江证券,证券
000785.SZ,居然智家,百货
000786.SZ,北新建材,其他建材
000788.SZ,北大医药,化学制药
000789.SZ,万年青,水泥
000790.SZ,华神科技,中成药
000791.SZ,甘肃能源,水力发电
000792.SZ,盐湖股份,农药化肥
000793.SZ,*ST华闻,出版业
000795.SZ,英洛华,矿物制品
000796.SZ,凯撒旅业,旅游服务
000797.SZ,中国武夷,全国地产
000798.SZ,中水渔业,渔业
000799.SZ,酒鬼酒,白酒
000800.SZ,一汽解放,汽车整车
000801.SZ,四川九洲,家用电器
000802.SZ,北京文化,影视音像
000803.SZ,山高环能,环境保护
000807.SZ,云铝股份,铝
000809.SZ,和展能源,电气设备
000810.SZ,创维数字,家用电器
000811.SZ,冰轮环境,工程机械
000812.SZ,陕西金叶,广告包装
000813.SZ,德展健康,化学制药
000815.SZ,美利云,通信设备
000816.SZ,智慧农业,农用机械
000818.SZ,航锦科技,化工原料
000819.SZ,岳阳兴长,石油加工
000820.SZ,*ST节能,综合类
000821.SZ,ST京机,电气设备
000822.SZ,山东海化,化工原料
000823.SZ,超声电子,元器件
000825.SZ,太钢不锈,特种钢
000826.SZ,启迪环境,环境保护
000828.SZ,东莞控股,路桥
000829.SZ,天音控股,其他商业
000830.SZ,鲁西化工,化工原料
000831.SZ,中国稀土,小金属
000833.SZ,粤桂股份,综合类
000837.SZ,秦川机床,机床制造
000838.SZ,财信发展,区域地产
000839.SZ,国安股份,综合类
000848.SZ,承德露露,软饮料
000850.SZ,华茂股份,纺织
000852.SZ,石化机械,化工机械
000856.SZ,冀东装备,专用机械
000858.SZ,五粮液,白酒
000859.SZ,国风新材,塑料
000860.SZ,顺鑫农业,白酒
000862.SZ,银星能源,新型电力
000863.SZ,三湘印象,区域地产
000868.SZ,安凯客车,汽车整车
000869.SZ,张裕Ａ,红黄酒
000875.SZ,电投绿能,火力发电
000876.SZ,新希望,饲料
000877.SZ,天山股份,水泥
000878.SZ,云南铜业,铜
000880.SZ,潍柴重机,专用机械
000881.SZ,中广核技,化工原料
000882.SZ,华联股份,其他商业
000883.SZ,湖北能源,水力发电
000885.SZ,城发环境,环境保护
000886.SZ,海南高速,区域地产
000887.SZ,中鼎股份,汽车配件
000888.SZ,峨眉山Ａ,旅游景点
000889.SZ,中嘉博创,通信设备
000890.SZ,法尔胜,环境保护
000892.SZ,欢瑞世纪,影视音像
000893.SZ,亚钾国际,农药化肥
000895.SZ,双汇发展,食品
001896.SZ,豫能控股,火力发电
000897.SZ,津滨发展,区域地产
000898.SZ,鞍钢股份,普钢
000899.SZ,赣能股份,火力发电
000900.SZ,现代投资,路桥
000901.SZ,航天科技,汽车配件
000902.SZ,新洋丰,农药化肥
000903.SZ,ST云动,汽车配件
000905.SZ,厦门港务,港口
000906.SZ,浙商中拓,仓储物流
000908.SZ,ST景峰,化学制药
000909.SZ,*ST数源,区域地产
000910.SZ,大亚圣象,家居用品
000911.SZ,广农糖业,食品
000912.SZ,泸天化,农药化肥
000913.SZ,钱江摩托,摩托车
000915.SZ,华特达因,化学制药
000917.SZ,电广传媒,广告包装
000919.SZ,金陵药业,化学制药
000920.SZ,沃顿科技,塑料
000921.SZ,海信家电,家用电器
000922.SZ,佳电股份,电气设备
000923.SZ,河钢资源,普钢
000925.SZ,众合科技,运输设备
000926.SZ,福星股份,区域地产
000927.SZ,中国铁物,仓储物流
000928.SZ,中钢国际,建筑工程
000929.SZ,*ST兰黄,啤酒
000930.SZ,中粮科技,农业综合
000931.SZ,中关村,化学制药
000932.SZ,华菱钢铁,普钢
000933.SZ,神火股份,铝
000935.SZ,四川双马,水泥
000936.SZ,华西股份,化纤
000937.SZ,冀中能源,煤炭开采
000938.SZ,紫光股份,IT设备
000948.SZ,南天信息,软件服务
000949.SZ,新乡化纤,化纤
000950.SZ,重药控股,医药商业
000951.SZ,中国重汽,汽车整车
000952.SZ,广济药业,化学制药
000953.SZ,河化股份,化学制药
000955.SZ,欣龙控股,纺织
000957.SZ,中通客车,汽车整车
000958.SZ,电投产融,新型电力
000959.SZ,首钢股份,普钢
000960.SZ,锡业股份,小金属
000962.SZ,东方钽业,小金属
000963.SZ,华东医药,化学制药
000965.SZ,天保基建,区域地产
000966.SZ,长源电力,火力发电
000967.SZ,盈峰环境,环境保护
000968.SZ,蓝焰控股,石油开采
000969.SZ,安泰科技,小金属
000970.SZ,中科三环,矿物制品
000972.SZ,*ST中基,食品
000973.SZ,佛塑科技,塑料
000975.SZ,山金国际,黄金
000977.SZ,浪潮信息,IT设备
000978.SZ,桂林旅游,旅游景点
000980.SZ,众泰汽车,汽车配件
000981.SZ,山子高科,汽车配件
000983.SZ,山西焦煤,煤炭开采
000985.SZ,大庆华科,化工原料
000987.SZ,越秀资本,多元金融
000988.SZ,华工科技,专用机械
000989.SZ,九芝堂,中成药
000990.SZ,诚志股份,化工原料
000993.SZ,闽东电力,水力发电
000995.SZ,皇台酒业,白酒
000997.SZ,新大陆,IT设备
000998.SZ,隆平高科,种植业
000999.SZ,华润三九,中成药
002001.SZ,新和成,化学制药
002181.SZ,粤传媒,出版业
600000.SH,浦发银行,银行
600004.SH,白云机场,机场
600006.SH,东风股份,汽车整车
600007.SH,中国国贸,园区开发
600008.SH,首创环保,水务
600009.SH,上海机场,机场
600010.SH,包钢股份,普钢
600011.SH,华能国际,火力发电
600012.SH,皖通高速,路桥
600015.SH,华夏银行,银行
600016.SH,民生银行,银行
600019.SH,宝钢股份,普钢
600020.SH,中原高速,路桥
600021.SH,上海电力,火力发电
600026.SH,中远海能,水运
600028.SH,中国石化,石油加工
600029.SH,南方航空,空运
600030.SH,中信证券,证券
600031.SH,三一重工,工程机械
600033.SH,福建高速,路桥
600035.SH,楚天高速,路桥
600036.SH,招商银行,银行
600037.SH,歌华有线,影视音像
600038.SH,中直股份,航空
600039.SH,四川路桥,建筑工程
600050.SH,中国联通,电信运营
600051.SH,宁波联合,综合类
600052.SH,东望时代,供气供热
600053.SH,九鼎投资,多元金融
600054.SH,黄山旅游,旅游景点
600055.SH,万东医疗,医疗保健
600056.SH,中国医药,医药商业
600057.SH,厦门象屿,仓储物流
600058.SH,五矿发展,商贸代理
600059.SH,古越龙山,红黄酒
600060.SH,海信视像,家用电器
600061.SH,国投资本,证券
600062.SH,华润双鹤,化学制药
600063.SH,皖维高新,化纤
600064.SH,南京高科,园区开发
600066.SH,宇通客车,汽车整车
600067.SH,冠城新材,电气设备
600071.SH,凤凰光学,元器件
600072.SH,中船科技,电气设备
600073.SH,光明肉业,食品
600075.SH,新疆天业,化工原料
600076.SH,康欣新材,广告包装
600078.SH,澄星股份,化工原料
600079.SH,ST人福,化学制药
600080.SH,金花股份,中成药
600081.SH,东风科技,汽车配件
600082.SH,海泰发展,园区开发
600084.SH,中信尼雅,红黄酒
600085.SH,同仁堂,中成药
600088.SH,中视传媒,影视音像
600089.SH,特变电工,电气设备
600094.SH,大名城,区域地产
600095.SH,湘财股份,证券
600096.SH,云天化,农药化肥
600097.SH,开创国际,渔业
600098.SH,广州发展,火力发电
600099.SH,林海股份,汽车整车
600100.SH,同方股份,IT设备
600101.SH,明星电力,水力发电
600103.SH,青山纸业,造纸
600104.SH,上汽集团,汽车整车
600105.SH,永鼎股份,通信设备
600106.SH,重庆路桥,路桥
600107.SH,ST尔雅,服饰
600108.SH,亚盛集团,种植业
600109.SH,国金证券,证券
600110.SH,诺德股份,电气设备
600111.SH,北方稀土,小金属
600113.SH,浙江东日,区域地产
600114.SH,东睦股份,机械基件
600115.SH,中国东航,空运
600116.SH,三峡水利,水力发电
600117.SH,西宁特钢,特种钢
600118.SH,中国卫星,航空
600119.SH,长江投资,仓储物流
600120.SH,浙江东方,多元金融
600121.SH,郑州煤电,煤炭开采
600123.SH,兰花科创,煤炭开采
600125.SH,铁龙物流,铁路
600126.SH,杭钢股份,普钢
600127.SH,金健米业,农业综合
600128.SH,苏豪弘业,商贸代理
600129.SH,太极集团,中成药
600130.SH,*ST波导,元器件
600131.SH,国网信通,通信设备
600132.SH,重庆啤酒,啤酒
600133.SH,东湖高新,环境保护
600135.SH,乐凯胶片,塑料
600136.SH,ST明诚,房产服务
600137.SH,浪莎股份,服饰
600138.SH,中青旅,旅游景点
600141.SH,兴发集团,农药化肥
600148.SH,长春一东,汽车配件
600149.SH,廊坊发展,综合类
600150.SH,中国船舶,船舶
600151.SH,航天机电,汽车配件
600152.SH,维科技术,电气设备
600153.SH,建发股份,仓储物流
600155.SH,华创云信,证券
600156.SH,华升股份,纺织
600157.SH,永泰能源,火力发电
600158.SH,中体产业,文教休闲
600159.SH,大龙地产,区域地产
600160.SH,巨化股份,化工原料
600161.SH,天坛生物,生物制药
600162.SH,香江控股,全国地产
600163.SH,中闽能源,新型电力
600165.SH,ST宁科,化工原料
600166.SH,福田汽车,汽车整车
600167.SH,联美控股,供气供热
600168.SH,武汉控股,水务
600169.SH,ST太重,工程机械
600170.SH,上海建工,建筑工程
600171.SH,上海贝岭,半导体
600172.SH,黄河旋风,矿物制品
600173.SH,卧龙新能,全国地产
600176.SH,中国巨石,玻璃
600177.SH,雅戈尔,服饰
600178.SH,东安动力,汽车配件
600179.SH,安通控股,水运
600180.SH,瑞茂通,仓储物流
600182.SH,S佳通,汽车配件
600183.SH,生益科技,元器件
600184.SH,光电股份,专用机械
600185.SH,珠免集团,旅游服务
600186.SH,莲花控股,食品
600187.SH,国中水务,水务
600188.SH,兖矿能源,煤炭开采
600189.SH,泉阳泉,软饮料
600191.SH,华资实业,食品
600192.SH,长城电工,电气设备
600193.SH,*ST创兴,装修装饰
600195.SH,中牧股份,农业综合
600196.SH,复星医药,化学制药
600197.SH,伊力特,白酒
600198.SH,大唐电信,通信设备
600199.SH,金种子酒,白酒
600201.SH,生物股份,农业综合
600202.SH,哈空调,专用机械
600203.SH,福日电子,元器件
600206.SH,有研新材,半导体
600207.SH,安彩高科,电气设备
600208.SH,衢州发展,全国地产
600210.SH,紫江企业,广告包装
600211.SH,西藏药业,生物制药
600212.SH,绿能慧充,电气设备
600215.SH,派斯林,专用机械
600216.SH,浙江医药,化学制药
600217.SH,中再资环,环境保护
600218.SH,全柴动力,汽车配件
600219.SH,南山铝业,铝
600221.SH,海航控股,空运
600222.SH,太龙药业,中成药
600223.SH,福瑞达,日用化工
600226.SH,亨通股份,供气供热
600227.SH,赤天化,农药化肥
600228.SH,*ST返利,互联网
600229.SH,城市传媒,出版业
600230.SH,沧州大化,化工原料
600231.SH,凌钢股份,普钢
600232.SH,金鹰股份,纺织机械
600233.SH,圆通速递,仓储物流
600234.SH,科新发展,装修装饰
600235.SH,民丰特纸,造纸
600236.SH,桂冠电力,水力发电
600237.SH,铜峰电子,元器件
600238.SH,*ST椰岛,红黄酒
600239.SH,云南城投,区域地产
600241.SH,时代万恒,电气设备
600243.SH,*ST海华,运输设备
600246.SH,万通发展,区域地产
600248.SH,陕建股份,建筑工程
600249.SH,两面针,日用化工
600250.SH,南京商旅,商贸代理
600251.SH,冠农股份,农业综合
600252.SH,中恒集团,中成药
600255.SH,鑫科材料,小金属
600256.SH,广汇能源,石油开采
600257.SH,大湖股份,渔业
600258.SH,首旅酒店,酒店餐饮
600259.SH,中稀有色,小金属
600261.SH,阳光照明,家用电器
600262.SH,北方股份,专用机械
600265.SH,ST景谷,林业
600266.SH,城建发展,区域地产
600267.SH,海正药业,化学制药
600268.SH,国电南自,电气设备
600269.SH,赣粤高速,路桥
600271.SH,航天信息,软件服务
600272.SH,开开实业,医药商业
600273.SH,嘉化能源,化工原料
600276.SH,恒瑞医药,化学制药
600278.SH,东方创业,商贸代理
600279.SH,重庆港,港口
600280.SH,中央商场,百货
600281.SH,华阳新材,小金属
600282.SH,南钢股份,普钢
600283.SH,钱江水利,水务
600284.SH,浦东建设,建筑工程
600285.SH,羚锐制药,中成药
600287.SH,苏豪时尚,商贸代理
600288.SH,大恒科技,元器件
600289.SH,ST信通,软件服务
600292.SH,电投水电,水力发电
600293.SH,三峡新材,玻璃
600295.SH,鄂尔多斯,特种钢
600298.SH,安琪酵母,食品
600299.SH,安迪苏,饲料
600300.SH,维维股份,软饮料
600301.SH,华锡有色,小金属
600302.SH,标准股份,纺织机械
600303.SH,曙光股份,汽车整车
600305.SH,恒顺醋业,食品
600307.SH,酒钢宏兴,普钢
600308.SH,华泰股份,造纸
600309.SH,万华化学,化工原料
600310.SH,广西能源,水力发电
600312.SH,平高电气,电气设备
600313.SH,农发种业,种植业
600315.SH,上海家化,日用化工
600316.SH,洪都航空,航空
600318.SH,新力金融,多元金融
600319.SH,亚星化学,化工原料
600320.SH,振华重工,专用机械
600322.SH,津投城开,区域地产
600323.SH,瀚蓝环境,环境保护
600325.SH,华发股份,区域地产
600326.SH,西藏天路,水泥
600327.SH,大东方,医疗保健
600328.SH,中盐化工,化工原料
600329.SH,达仁堂,中成药
600330.SH,天通股份,专用机械
600331.SH,宏达股份,农药化肥
600332.SH,白云山,中成药
600333.SH,长春燃气,供气供热
600335.SH,国机汽车,汽车服务
600336.SH,澳柯玛,家用电器
600337.SH,美克家居,家居用品
600338.SH,西藏珠峰,铅锌
600339.SH,中油工程,石油开采
600340.SH,华夏幸福,园区开发
600343.SH,航天动力,机械基件
600345.SH,长江通信,通信设备
600346.SH,恒力石化,石油加工
600348.SH,华阳股份,煤炭开采
600350.SH,山东高速,路桥
600351.SH,亚宝药业,中成药
600352.SH,浙江龙盛,染料涂料
600353.SH,旭光电子,元器件
600354.SH,敦煌种业,种植业
600355.SH,*ST精伦,专用机械
600356.SH,恒丰纸业,造纸
600358.SH,ST联合,广告包装
600359.SH,新农开发,种植业
600360.SH,*ST华微,半导体
600361.SH,创新新材,铝
600362.SH,江西铜业,铜
600363.SH,联创光电,元器件
600365.SH,ST通葡,互联网
600366.SH,宁波韵升,矿物制品
600367.SH,红星发展,化工原料
600368.SH,五洲交通,路桥
600369.SH,西南证券,证券
600370.SH,三房巷,化工原料
600371.SH,万向德农,种植业
600372.SH,中航机载,航空
600373.SH,中文传媒,出版业
600375.SH,汉马科技,汽车整车
600376.SH,首开股份,区域地产
600377.SH,宁沪高速,路桥
600378.SH,昊华科技,化工原料
600379.SH,宝光股份,电气设备
600380.SH,健康元,化学制药
600381.SH,*ST春天,医疗保健
600382.SH,广东明珠,普钢
600383.SH,金地集团,全国地产
600386.SH,北巴传媒,汽车服务
600388.SH,龙净环保,环境保护
600389.SH,江山股份,农药化肥
600390.SH,五矿资本,多元金融
600391.SH,航发科技,航空
600392.SH,盛和资源,小金属
600395.SH,盘江股份,煤炭开采
600396.SH,华电辽能,火力发电
600397.SH,江钨装备,专用机械
600398.SH,海澜之家,服饰
600399.SH,抚顺特钢,特种钢
600400.SH,红豆股份,服饰
600403.SH,大有能源,煤炭开采
600405.SH,动力源,电气设备
600406.SH,国电南瑞,电气设备
600408.SH,安泰集团,焦炭加工
600409.SH,三友化工,化纤
600410.SH,华胜天成,软件服务
600415.SH,小商品城,商品城
600416.SH,湘电股份,电气设备
600418.SH,江淮汽车,汽车整车
600419.SH,天润乳业,乳制品
600420.SH,国药现代,化学制药
600421.SH,*ST华嵘,专用机械
600422.SH,昆药集团,中成药
600423.SH,柳化股份,农药化肥
600425.SH,青松建化,水泥
600426.SH,华鲁恒升,农药化肥
600428.SH,中远海特,水运
600429.SH,三元股份,乳制品
600433.SH,冠豪高新,造纸
600435.SH,北方导航,专用机械
600436.SH,片仔癀,中成药
600438.SH,通威股份,电气设备
600439.SH,瑞贝卡,服饰
600444.SH,国机通用,专用机械
600446.SH,金证股份,软件服务
600448.SH,华纺股份,纺织
600449.SH,宁夏建材,水泥
600452.SH,涪陵电力,水力发电
600455.SH,博通股份,文教休闲
600456.SH,宝钛股份,小金属
600458.SH,时代新材,塑料
600459.SH,贵研铂业,小金属
600460.SH,士兰微,半导体
600461.SH,洪城环境,水务
600463.SH,空港股份,园区开发
600467.SH,好当家,渔业
600468.SH,百利电气,电气设备
600469.SH,风神股份,汽车配件
600470.SH,六国化工,农药化肥
600475.SH,华光环能,电气设备
600476.SH,湘邮科技,软件服务
600477.SH,杭萧钢构,钢加工
600478.SH,科力远,电气设备
600479.SH,千金药业,中成药
600480.SH,凌云股份,汽车配件
600481.SH,双良节能,电气设备
600483.SH,福能股份,新型电力
600486.SH,扬农化工,农药化肥
600487.SH,亨通光电,通信设备
600488.SH,津药药业,化学制药
600489.SH,中金黄金,黄金
600490.SH,鹏欣资源,铜
600491.SH,龙元建设,建筑工程
600493.SH,凤竹纺织,纺织
600495.SH,晋西车轴,运输设备
600496.SH,精工钢构,钢加工
600497.SH,驰宏锌锗,铅锌
600498.SH,烽火通信,通信设备
600499.SH,科达制造,专用机械
600500.SH,中化国际,塑料
600501.SH,航天晨光,专用机械
600502.SH,安徽建工,建筑工程
600503.SH,华丽家族,区域地产
600505.SH,西昌电力,水力发电
600506.SH,统一股份,石油加工
600507.SH,方大特钢,特种钢
600508.SH,上海能源,煤炭开采
600509.SH,天富能源,火力发电
600510.SH,黑牡丹,全国地产
600511.SH,国药股份,医药商业
600512.SH,腾达建设,建筑工程
600513.SH,联环药业,化学制药
600515.SH,海南机场,机场
600516.SH,方大炭素,矿物制品
600517.SH,国网英大,多元金融
600518.SH,康美药业,中成药
600519.SH,贵州茅台,白酒
600520.SH,三佳科技,半导体
600521.SH,华海药业,化学制药
600522.SH,中天科技,通信设备
600523.SH,贵航股份,汽车配件
600525.SH,ST长园,电气设备
600526.SH,菲达环保,环境保护
600527.SH,江南高纤,化纤
600528.SH,中铁工业,运输设备
600529.SH,山东药玻,医疗保健
600530.SH,交大昂立,医疗保健
600531.SH,豫光金铅,铅锌
600533.SH,栖霞建设,区域地产
600535.SH,天士力,中成药
600536.SH,中国软件,软件服务
600537.SH,亿晶光电,电气设备
600538.SH,国发股份,医药商业
600539.SH,狮头股份,互联网
600540.SH,新赛股份,种植业
600543.SH,莫高股份,红黄酒
600545.SH,卓郎智能,纺织机械
600546.SH,山煤国际,煤炭开采
600547.SH,山东黄金,黄金
600548.SH,深高速,路桥
600549.SH,厦门钨业,小金属
600550.SH,保变电气,电气设备
